,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2020-06-17 09:01:40.875,6.001215500000001,4.0,0.27794442719171997,0.9585985000000008,,,
2020-06-17 09:01:43.250,6.452858,1.125,1.2202433936753039,0.3369840000000002,,,
2020-06-17 09:01:45.250,6.840408999999999,1.375,0.5299452740947075,0.2242109999999986,1.125,2.375,0.5325011249999967
2020-06-17 09:01:54.125,5.4129825,2.125,0.4490140862361045,0.4433885000000002,0.875,2.625,1.1638948125000006
2020-06-17 09:01:58.875,5.0221195000000005,1.875,0.15527729095995824,0.06277450000000062,0.25,2.0,0.12554900000000124
2020-06-17 09:02:03.875,5.5686355,3.875,0.33663904600028616,0.5951975000000003,1.5,3.375,2.008791562500001
2020-06-17 09:02:10.250,5.223252,1.625,0.2667690565164875,0.2331599999999998,1.125,2.25,0.5246099999999996
2020-06-17 09:02:16.125,5.3135695,2.5,0.28255811966795363,0.3414130000000002,2.0,3.375,1.1522688750000007
2020-06-17 09:02:20.625,5.4058085,2.0,0.22593483513113455,0.20753749999999993,1.0,2.625,0.5447859374999998
2020-06-17 09:02:24.625,6.3862404999999995,2.25,1.0192159586305962,0.9958049999999998,1.375,3.125,3.1118906249999996
2020-06-17 09:02:48.125,5.118202,2.875,0.10586468840366337,0.16270000000000007,0.75,2.875,0.4677625000000002
2020-06-17 09:03:09.375,5.072082,2.375,0.33521041604857515,0.3856109999999999,1.5,3.25,1.2532357499999998
2020-06-17 09:04:09.000,3.5407870000000004,2.375,0.07639558183141659,0.08199000000000023,,,
2020-06-17 09:04:12.250,3.729109,2.125,0.1929390438571552,0.18447799999999992,1.375,3.0,0.5534339999999998
2020-06-17 09:04:29.125,3.4827845,2.25,0.10348709773385423,0.14220200000000016,1.5,3.125,0.4443812500000005
2020-06-17 09:05:05.750,3.08124,2.375,0.10673442820821677,0.15245100000000011,,,
2020-06-17 09:05:44.750,2.903167,2.75,0.03348028262291791,0.08967699999999956,1.375,3.625,0.3250791249999984
2020-06-17 09:06:10.125,3.2471425,3.5,0.20470626418734028,0.3824084999999995,,,
2020-06-17 09:06:32.750,3.114548,2.75,0.08885094223139589,0.14988800000000024,1.125,3.125,0.46840000000000076
2020-06-17 09:06:43.625,3.183087,2.0,0.10353953158783114,0.13259350000000003,1.625,3.125,0.4143546875000001
