EpochNum,StartTime,EndTime,BinaryLabels,MulticlassLabels
130,2020-06-12 06:49:02,2020-06-12 06:49:07,-1.0,-1.0
131,2020-06-12 06:49:07,2020-06-12 06:49:12,1.0,1.0
132,2020-06-12 06:49:12,2020-06-12 06:49:17,1.0,1.0
133,2020-06-12 06:49:17,2020-06-12 06:49:22,-1.0,1.0
134,2020-06-12 06:49:22,2020-06-12 06:49:27,-1.0,1.0
135,2020-06-12 06:49:27,2020-06-12 06:49:32,1.0,1.0
136,2020-06-12 06:49:32,2020-06-12 06:49:37,1.0,1.0
137,2020-06-12 06:49:37,2020-06-12 06:49:42,1.0,1.0
138,2020-06-12 06:49:42,2020-06-12 06:49:47,1.0,1.0
139,2020-06-12 06:49:47,2020-06-12 06:49:52,1.0,1.0
140,2020-06-12 06:49:52,2020-06-12 06:49:57,1.0,1.0
141,2020-06-12 06:49:57,2020-06-12 06:50:02,1.0,1.0
142,2020-06-12 06:50:02,2020-06-12 06:50:07,1.0,1.0
143,2020-06-12 06:50:07,2020-06-12 06:50:12,1.0,1.0
144,2020-06-12 06:50:12,2020-06-12 06:50:17,-1.0,-1.0
145,2020-06-12 06:50:17,2020-06-12 06:50:22,-1.0,-1.0
146,2020-06-12 06:50:22,2020-06-12 06:50:27,-1.0,-1.0
147,2020-06-12 06:50:27,2020-06-12 06:50:32,1.0,1.0
148,2020-06-12 06:50:32,2020-06-12 06:50:37,1.0,1.0
149,2020-06-12 06:50:37,2020-06-12 06:50:42,1.0,1.0
150,2020-06-12 06:50:42,2020-06-12 06:50:47,1.0,1.0
151,2020-06-12 06:50:47,2020-06-12 06:50:52,-1.0,-1.0
152,2020-06-12 06:50:52,2020-06-12 06:50:57,1.0,1.0
153,2020-06-12 06:50:57,2020-06-12 06:51:02,-1.0,-1.0
154,2020-06-12 06:51:02,2020-06-12 06:51:07,1.0,1.0
155,2020-06-12 06:51:07,2020-06-12 06:51:12,1.0,1.0
156,2020-06-12 06:51:12,2020-06-12 06:51:17,-1.0,-1.0
157,2020-06-12 06:51:17,2020-06-12 06:51:22,1.0,1.0
158,2020-06-12 06:51:22,2020-06-12 06:51:27,-1.0,1.0
159,2020-06-12 06:51:27,2020-06-12 06:51:32,-1.0,-1.0
160,2020-06-12 06:51:32,2020-06-12 06:51:37,1.0,1.0
161,2020-06-12 06:51:37,2020-06-12 06:51:42,1.0,1.0
162,2020-06-12 06:51:42,2020-06-12 06:51:47,1.0,1.0
163,2020-06-12 06:51:47,2020-06-12 06:51:52,1.0,1.0
164,2020-06-12 06:51:52,2020-06-12 06:51:57,-1.0,-1.0
165,2020-06-12 06:51:57,2020-06-12 06:52:02,-1.0,-1.0
166,2020-06-12 06:52:02,2020-06-12 06:52:07,-1.0,-1.0
167,2020-06-12 06:52:07,2020-06-12 06:52:12,1.0,1.0
168,2020-06-12 06:52:12,2020-06-12 06:52:17,-1.0,1.0
169,2020-06-12 06:52:17,2020-06-12 06:52:22,-1.0,-1.0
170,2020-06-12 06:52:22,2020-06-12 06:52:27,1.0,1.0
171,2020-06-12 06:52:27,2020-06-12 06:52:32,-1.0,1.0
172,2020-06-12 06:52:32,2020-06-12 06:52:37,-1.0,-1.0
173,2020-06-12 06:52:37,2020-06-12 06:52:42,1.0,1.0
174,2020-06-12 06:52:42,2020-06-12 06:52:47,1.0,-1.0
175,2020-06-12 06:52:47,2020-06-12 06:52:52,1.0,1.0
176,2020-06-12 06:52:52,2020-06-12 06:52:57,1.0,1.0
177,2020-06-12 06:52:57,2020-06-12 06:53:02,1.0,1.0
178,2020-06-12 06:53:02,2020-06-12 06:53:07,-1.0,-1.0
179,2020-06-12 06:53:07,2020-06-12 06:53:12,-1.0,-1.0
180,2020-06-12 06:53:12,2020-06-12 06:53:17,-1.0,-1.0
181,2020-06-12 06:53:17,2020-06-12 06:53:22,-1.0,-1.0
182,2020-06-12 06:53:22,2020-06-12 06:53:27,-1.0,-1.0
183,2020-06-12 06:53:27,2020-06-12 06:53:32,-1.0,-1.0
184,2020-06-12 06:53:32,2020-06-12 06:53:37,1.0,1.0
185,2020-06-12 06:53:37,2020-06-12 06:53:42,1.0,1.0
186,2020-06-12 06:53:42,2020-06-12 06:53:47,-1.0,1.0
187,2020-06-12 06:53:47,2020-06-12 06:53:52,1.0,1.0
188,2020-06-12 06:53:52,2020-06-12 06:53:57,1.0,1.0
189,2020-06-12 06:53:57,2020-06-12 06:54:02,1.0,1.0
190,2020-06-12 06:54:02,2020-06-12 06:54:07,1.0,1.0
191,2020-06-12 06:54:07,2020-06-12 06:54:12,-1.0,1.0
192,2020-06-12 06:54:12,2020-06-12 06:54:17,1.0,1.0
